iter	Passed	Remaining
475	671	738
476	672	737
477	673	735
478	674	733
479	675	732
480	677	730
481	678	728
482	678	726
483	679	724
484	680	723
485	682	721
486	683	719
487	684	717
488	685	715
489	686	714
490	687	713
491	689	711
492	690	709
493	691	707
494	692	706
495	693	704
496	693	702
497	695	700
498	696	699
499	697	697
500	698	695
501	699	693
502	700	692
503	702	690
504	703	689
505	704	687
506	705	685
507	706	684
508	707	682
509	708	680
510	709	679
511	710	677
512	712	676
513	713	674
514	715	673
515	716	671
516	717	670
517	718	668
518	719	666
519	720	664
520	721	663
521	722	661
522	723	659
523	724	658
524	725	656
525	726	654
526	727	653
527	729	651
528	730	650
529	731	648
530	732	646
531	733	645
532	734	643
533	735	641
534	736	639
535	737	638
536	738	636
537	739	634
538	740	633
539	741	631
540	742	629
541	743	628
542	744	626
543	745	625
544	747	623
545	748	622
546	749	620
547	750	618
548	751	617
549	752	615
550	753	613
551	754	612
552	755	610
553	756	608
554	757	607
555	758	605
556	759	604
557	760	602
558	761	601
559	762	599
560	763	597
561	764	595
562	765	594
563	766	592
564	767	591
565	768	589
566	769	587
567	771	586
568	772	585
569	774	583
570	775	582
571	776	580
572	777	579
573	778	577
574	779	575
575	780	574
576	781	572
577	782	571
578	783	569
579	784	567
580	785	566
581	787	565
582	788	563
583	789	562
584	790	560
585	791	559
586	792	557
587	793	555
588	794	554
589	795	552
590	796	551
591	797	549
592	798	548
593	800	546
594	801	545
595	802	543
596	803	542
597	804	540
598	805	539
599	806	537
600	807	535
601	808	534
602	809	532
603	810	531
604	811	529
605	812	528
606	814	527
607	815	525
608	816	524
609	817	522
610	818	521
611	819	519
612	820	517
613	821	516
614	822	514
615	823	513
616	824	511
617	825	510
618	826	508
619	827	507
620	828	505
621	830	504
622	831	502
623	831	501
624	832	499
625	833	498
626	835	496
627	836	495
628	837	493
629	838	492
630	839	490
631	840	489
632	841	488
633	842	486
634	843	485
635	844	483
636	845	482
637	846	480
638	847	478
639	848	477
640	849	476
641	850	474
642	851	472
643	852	471
644	854	470
645	855	468
646	856	467
647	857	465
648	858	464
649	859	462
650	860	461
651	861	459
652	862	458
653	863	456
654	864	455
655	866	454
656	867	452
657	868	451
658	869	449
659	871	448
660	872	447
661	873	445
662	874	444
663	875	442
664	876	441
665	877	439
666	878	438
667	879	436
668	880	435
669	881	434
670	882	432
671	884	431
672	885	430
673	886	428
674	887	427
675	888	425
676	889	424
677	890	422
678	891	421
679	892	419
680	893	418
681	894	417
682	895	415
683	896	414
684	897	412
685	898	411
686	899	409
687	900	408
688	901	406
689	902	405
690	903	404
691	904	402
692	905	401
693	906	399
694	907	398
695	909	397
696	910	395
697	911	394
698	912	392
699	913	391
700	914	389
701	915	388
702	916	387
703	917	385
704	918	384
705	919	382
706	920	381
707	921	379
708	922	378
709	923	377
710	924	375
711	925	374
712	926	373
713	927	371
714	928	370
715	929	368
716	930	367
717	931	365
718	932	364
719	933	363
720	934	361
721	935	360
722	936	358
723	937	357
724	938	356
725	940	354
726	941	353
727	942	352
728	943	350
729	944	349
730	945	347
731	946	346
732	947	345
733	948	343
734	949	342
735	950	340
736	951	339
737	952	338
738	953	336
739	954	335
740	955	334
741	956	332
742	957	331
743	958	329
744	959	328
745	961	327
746	962	325
747	963	324
748	964	323
749	965	321
750	966	320
751	968	319
752	969	317
753	970	316
754	971	315
755	972	314
756	973	312
757	975	311
758	976	309
759	977	308
760	978	307
761	979	305
762	980	304
763	981	303
764	982	301
765	984	300
766	985	299
767	986	297
768	987	296
769	988	295
770	989	293
771	990	292
772	991	291
773	992	289
774	993	288
775	995	287
776	996	286
777	998	284
778	999	283
779	1000	282
780	1001	280
781	1002	279
782	1003	278
783	1004	276
784	1005	275
785	1007	274
786	1008	272
787	1011	272
788	1012	270
789	1013	269
790	1014	268
791	1016	266
792	1017	265
793	1018	264
794	1019	262
795	1020	261
796	1022	260
797	1024	259
798	1025	258
799	1027	256
800	1028	255
801	1029	254
802	1030	252
803	1031	251
804	1032	250
805	1033	248
806	1034	247
807	1036	246
808	1037	244
809	1039	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	231
819	1050	230
820	1052	229
821	1054	228
822	1055	227
823	1057	225
824	1058	224
825	1059	223
826	1061	221
827	1062	220
828	1063	219
829	1064	217
830	1065	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1075	204
840	1076	203
841	1077	202
842	1078	200
843	1081	199
844	1082	198
845	1083	197
846	1084	195
847	1085	194
848	1086	193
849	1087	191
850	1089	190
851	1090	189
852	1091	188
853	1092	186
854	1093	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1099	178
860	1100	177
861	1101	176
862	1102	174
863	1103	173
864	1104	172
865	1105	171
866	1106	169
867	1107	168
868	1108	167
869	1109	165
870	1110	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1115	157
876	1116	156
877	1118	155
878	1119	154
879	1120	152
880	1122	151
881	1123	150
882	1124	149
883	1125	147
884	1126	146
885	1128	145
886	1129	143
887	1130	142
888	1131	141
889	1133	140
890	1134	138
891	1136	137
892	1137	136
893	1138	135
894	1140	133
895	1141	132
896	1142	131
897	1144	129
898	1145	128
899	1147	127
900	1148	126
901	1149	124
902	1151	123
903	1152	122
904	1154	121
905	1155	119
906	1156	118
907	1157	117
908	1158	116
909	1160	114
910	1161	113
911	1162	112
912	1163	110
913	1165	109
914	1167	108
915	1168	107
916	1169	105
917	1170	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1179	95
925	1180	94
926	1181	93
927	1182	91
928	1183	90
929	1184	89
930	1185	87
931	1186	86
932	1188	85
933	1189	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1195	77
939	1196	76
940	1197	75
941	1198	73
942	1200	72
943	1202	71
944	1203	70
945	1204	68
946	1205	67
947	1206	66
948	1207	64
949	1208	63
950	1209	62
951	1210	61
952	1211	59
953	1213	58
954	1214	57
955	1215	55
956	1216	54
957	1217	53
958	1218	52
959	1219	50
960	1220	49
961	1222	48
962	1223	46
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1228	40
968	1230	39
969	1231	38
970	1232	36
971	1233	35
972	1234	34
973	1235	32
974	1237	31
975	1238	30
976	1239	29
977	1240	27
978	1241	26
979	1242	25
980	1243	24
981	1244	22
982	1245	21
983	1246	20
984	1248	19
985	1249	17
986	1251	16
987	1252	15
988	1253	13
989	1254	12
990	1255	11
991	1256	10
992	1257	8
993	1258	7
994	1259	6
995	1260	5
996	1261	3
997	1262	2
998	1263	1
999	1264	0
